playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
reeseri01,0.5372,512,52,245,248,73,17,158,2020,4109,269,36,353,0,0,0,0,0,0,3,0,2,0,0,0,2,19,4109,269,36,353,0,0,0,0,0,0,0,0,0,0
pinielo01,0.5424,1705,102,766,651,305,41,368,5867,2546,106,52,16,0,0,0,0,0,0,43,3,19,15,7,0,2,141,2546,106,52,16,0,0,0,0,0,0,1,0,2,0
porteda02,0.5104,1369,188,826,765,237,48,905,5539,6767,755,134,106,902,553,0,0,0,0,32,1,9,12,7,0,22,120,6767,755,134,106,902,553,0,0,0,0,3,0,1,0
puhlte01,0.5128,1361,62,435,676,226,56,505,4855,2585,57,18,19,0,0,0,0,0,0,16,0,3,6,3,0,3,43,2585,57,18,19,0,0,0,0,0,0,0,0,0,0
riceji01,0.5413,2452,382,1451,1249,373,79,670,8225,3103,137,66,19,0,0,0,0,0,0,16,2,7,14,2,1,9,71,3103,137,66,19,0,0,0,0,0,0,7,3,0,1
rivermi01,0.5030,1660,61,499,785,247,71,266,5629,3150,95,61,21,0,0,0,0,0,0,37,0,4,14,4,1,4,120,3150,95,61,21,0,0,0,0,0,0,1,0,2,0
raderdo02,0.4589,1302,155,722,631,245,39,528,5186,1526,2913,201,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,2913,201,290,0,0,0,0,0,0,0,5,0,0
reichri01,0.4878,864,116,445,391,109,24,263,3307,1621,55,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,55,30,17,0,0,0,0,0,0,0,0,0,0
remyje01,0.5166,1226,7,329,605,140,38,356,4455,2293,3243,110,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293,3243,110,744,0,0,0,0,0,0,0,0,0,0
robinbi02,0.5169,1127,166,641,536,229,29,263,4364,3336,267,73,149,0,0,0,0,0,0,5,0,2,2,1,0,0,24,3336,267,73,149,0,0,0,0,0,0,0,0,1,0
rosepe01,0.5527,4256,160,1314,2165,746,135,1566,14053,12394,3349,213,1083,0,0,0,0,0,0,86,5,22,30,13,2,28,268,12394,3349,213,1083,0,0,0,0,0,0,16,4,3,0
rudijo01,0.5245,1468,179,810,684,287,39,369,5556,4167,159,41,180,0,0,0,0,0,0,36,3,15,8,6,1,13,140,4167,159,41,180,0,0,0,0,0,0,3,3,3,0
russebi01,0.5518,1926,46,627,796,293,57,483,7318,3104,5713,355,936,0,0,0,0,0,0,57,0,19,14,5,3,11,194,3104,5713,355,936,0,0,0,0,0,0,3,0,1,0
ryanmi02,0.4479,370,28,161,146,60,12,152,1920,3473,325,34,45,234,181,0,0,0,0,0,0,0,0,0,0,0,2,3473,325,34,45,234,181,0,0,0,0,0,0,0,0
sanguma01,0.5415,1500,65,585,566,205,57,223,5062,6646,575,105,112,504,314,0,0,0,0,29,1,4,8,3,0,1,103,6646,575,105,112,504,314,0,0,0,0,1,0,2,0
scottge02,0.5110,1992,271,1051,957,306,60,699,7433,15601,1520,201,1527,0,0,0,0,0,0,6,0,0,3,1,1,3,26,15601,1520,201,1527,0,0,0,0,0,0,3,8,0,0
schmimi01,0.5100,2234,548,1595,1506,408,59,1507,8352,2836,5193,328,580,0,0,0,0,0,0,33,4,16,19,9,0,15,140,2836,5193,328,580,0,0,0,0,0,0,10,19,1,1
scottto01,0.4945,699,17,253,331,111,28,186,2803,1803,53,27,8,0,0,0,0,0,0,3,0,2,0,0,0,1,20,1803,53,27,8,0,0,0,0,0,0,0,0,0,0
schaapa01,0.4736,869,57,323,436,132,26,516,3555,775,2112,173,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,2112,173,165,0,0,0,0,0,0,0,0,0,0
simsdu01,0.5082,580,100,310,263,80,6,338,2422,4206,360,72,81,297,160,0,0,0,0,3,0,0,0,2,1,1,14,4206,360,72,81,297,160,0,0,0,0,0,0,0,0
smithre06,0.5352,2020,314,1092,1123,363,57,890,7033,5186,304,123,165,0,0,0,0,0,0,25,6,17,17,3,1,10,107,5186,304,123,165,0,0,0,0,0,0,7,1,1,0
speiech01,0.5054,1759,112,720,770,302,50,847,7156,3314,6259,288,1121,0,0,0,0,0,0,14,1,4,8,3,0,7,50,3314,6259,288,1121,0,0,0,0,0,0,2,0,0,0
stahlla01,0.4086,400,36,163,167,58,19,142,1721,992,56,15,25,0,0,0,0,0,0,2,0,0,1,0,0,0,4,992,56,15,25,0,0,0,0,0,0,0,0,0,0
stanlmi01,0.5165,1243,117,500,641,201,48,371,5022,3688,327,46,105,0,0,0,0,0,0,8,0,0,4,0,1,2,34,3688,327,46,105,0,0,0,0,0,0,0,4,1,0
stargwi01,0.5423,2232,475,1540,1194,423,55,937,7927,9278,486,151,713,0,0,0,0,0,0,37,7,20,18,10,0,17,133,9278,486,151,713,0,0,0,0,0,0,7,1,2,1
staubru01,0.4654,2716,292,1466,1189,499,47,1255,9720,6572,402,140,306,0,0,0,0,0,0,14,4,11,5,2,0,5,41,6572,402,140,306,0,0,0,0,0,0,4,0,0,0
stewaji01,0.5085,336,8,112,164,45,14,139,1420,628,541,34,114,3,0,0,0,0,0,0,0,0,0,0,0,0,4,628,541,34,114,3,0,0,0,0,0,0,0,0,0
simmote01,0.4901,2472,248,1389,1074,483,47,855,8680,10544,1092,169,248,1188,611,0,0,0,0,11,3,8,6,1,0,8,59,10544,1092,169,248,1188,611,0,0,0,0,5,1,0,1
singlke01,0.5500,2029,246,1065,985,317,25,1263,7189,2684,82,57,17,0,0,0,0,0,0,19,0,6,5,5,0,6,57,2684,82,57,17,0,0,0,0,0,0,3,0,1,0
smithlo01,0.5143,1488,98,533,909,273,58,623,5170,2388,101,92,18,0,0,0,0,0,0,57,4,17,28,14,2,16,205,2388,101,92,18,0,0,0,0,0,0,1,0,3,0
smithoz01,0.5022,2460,28,793,1257,402,69,1072,9396,4249,8375,281,1590,0,0,0,0,0,0,34,1,10,14,1,2,20,144,4249,8375,281,1590,0,0,0,0,0,0,14,14,1,1
spencji01,0.4975,1227,146,599,541,179,27,407,4908,9920,798,55,956,0,0,0,0,0,0,3,0,0,3,1,0,2,20,9920,798,55,956,0,0,0,0,0,0,1,2,1,0
stearjo01,0.4481,696,46,312,334,152,10,323,2681,4059,520,75,103,500,295,0,0,0,0,0,0,0,0,0,0,0,0,4059,520,75,103,500,295,0,0,0,0,3,0,0,0
tenacge01,0.5377,1060,201,674,653,179,20,984,4390,8731,743,103,489,515,290,0,0,0,0,18,4,14,10,3,0,30,114,8731,743,103,489,515,290,0,0,0,0,1,0,4,0
tolanbo01,0.5507,1121,86,497,572,173,34,258,4238,2915,101,58,79,0,0,0,0,0,0,21,2,13,14,3,1,7,83,2915,101,58,79,0,0,0,0,0,0,0,0,1,0
trillma01,0.4881,1562,61,571,598,239,33,452,5950,3977,4855,169,1029,0,0,0,0,0,0,16,0,7,7,4,1,4,60,3977,4855,169,1029,0,0,0,0,0,0,4,5,3,0
summech01,0.5281,350,54,218,199,63,4,188,1371,508,23,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,508,23,15,24,0,0,0,0,0,0,0,0,1,0
sundbji01,0.4894,1493,95,624,621,243,36,699,6021,9773,1007,81,145,1012,708,0,0,0,0,10,1,7,9,3,1,7,48,9773,1007,81,145,1012,708,0,0,0,0,2,6,1,0
templga01,0.4929,2096,70,728,893,329,106,375,7721,3551,6078,386,1176,0,0,0,0,0,0,11,0,2,3,2,0,2,34,3551,6078,386,1176,0,0,0,0,0,0,2,2,0,0
thomago01,0.4903,1051,268,782,681,212,13,697,4677,2954,56,51,15,0,0,0,0,0,0,6,2,7,3,0,0,5,59,2954,56,51,15,0,0,0,0,0,0,1,0,0,0
trammal01,0.5042,2365,185,1003,1231,412,55,850,8288,3448,6265,235,1321,0,0,0,0,0,0,17,3,11,10,2,1,6,51,3448,6265,235,1321,0,0,0,0,0,0,4,7,1,1
unserde01,0.4765,1344,87,481,617,179,42,481,5215,3643,157,55,75,0,0,0,0,0,0,5,0,3,4,3,0,0,11,3643,157,55,75,0,0,0,0,0,0,0,0,1,0
thornan01,0.4436,1342,253,895,792,244,22,876,5291,6239,502,52,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6239,502,52,558,0,0,0,0,0,0,2,1,0,0
torboje01,0.5105,297,8,101,78,42,3,103,1391,2998,214,32,31,219,123,0,0,0,0,0,0,0,0,0,0,0,0,2998,214,32,31,219,123,0,0,0,0,0,0,1,0
valenel01,0.4586,881,123,474,380,169,15,180,3166,1570,85,47,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,85,47,17,0,0,0,0,0,0,1,1,0,0
washicl01,0.5045,1884,164,824,926,334,69,468,6787,3198,104,91,22,0,0,0,0,0,0,13,0,1,3,2,0,3,39,3198,104,91,22,0,0,0,0,0,0,2,0,1,0
wathajo01,0.5509,656,21,261,305,90,25,199,2505,3388,284,52,123,313,152,0,0,0,0,5,0,1,3,0,0,6,34,3388,284,52,123,313,152,0,0,0,0,0,0,1,0
watsobo01,0.5025,1826,184,989,802,307,41,653,6185,9848,679,110,773,5,1,0,0,0,0,23,2,9,4,4,1,4,62,9848,679,110,773,5,1,0,0,0,0,2,0,0,0
whitalo01,0.5139,2369,244,1084,1386,420,65,1197,8570,4771,6653,189,1527,0,0,0,0,0,0,10,1,1,13,2,0,11,49,4771,6653,189,1527,0,0,0,0,0,0,4,7,1,0
whitefr01,0.5345,2006,160,886,912,407,58,412,7859,4944,6629,206,1459,0,0,0,0,0,0,32,2,16,14,5,0,6,150,4944,6629,206,1459,0,0,0,0,0,0,5,9,1,0
whitero01,0.5280,1803,160,758,964,300,51,934,6650,3443,122,52,19,0,0,0,0,0,0,22,2,8,20,6,0,14,79,3443,122,52,19,0,0,0,0,0,0,1,0,2,0
